date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
7/20/21,CML,OBRG,Removed,M,NA,7,A,3,NA,NA,NA
7/23/21,CML,OBBY,Removed,M,NA,6,A,3,NA,NA,end
7/23/21,CML,OBGG,Removed,M,NA,5,A,3,NA,NA,end
6/29/21,CML,OBRK,Removed,M,NA,9,A,3,NA,NA,NA
7/1/21,CML,OBRK,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBRK,Removed,M,NA,9,A,3,NA,NA,NA
7/9/21,CML,OBRK,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBRK,Removed,M,NA,7.5,A,3,NA,NA,NA
7/15/21,CML,OBRK,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBRK,Removed,M,NA,6.5,A,3,NA,NA,NA
7/23/21,CML,OBGR,Dead,M,NA,NA,D,NA,NA,NA,end
7/23/21,CML,OBRG,Removed,M,NA,NA,A,3,NA,NA,end
6/7/21,WL,OBRR,Removed,M,NA,11.5,A,3,NA,NA,NA
6/10/21,WL,OBRR,Removed,M,NA,NA,A,3,NA,NA,NA
7/23/21,CML,OBRK,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBRY,Removed,M,NA,NA,A,3,NA,NA,end
6/21/21,WL,OBRW,Molted,M,NA,11,A,3,NA,NA,NA
6/24/21,WL,OBRW,Molted,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,OBRW,Molted,M,NA,11,A,3,NA,NA,NA
7/1/21,WL,OBRW,Molted,M,NA,10.5,A,3,NA,NA,NA
7/5/21,WL,OBRW,Molted,M,NA,10,A,3,NA,NA,NA
7/8/21,WL,OBRW,Molted,M,NA,6,A,3,NA,NA,NA
7/23/21,CML,OBWG,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,OBWR,Dead,M,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBRY,Removed,M,NA,8.5,A,3,NA,NA,NA
7/1/21,CML,OBRY,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBRY,Removed,M,NA,8.5,A,3,NA,NA,NA
7/9/21,CML,OBRY,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBRY,Removed,M,NA,7,A,3,NA,NA,NA
7/15/21,CML,OBRY,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBRY,Removed,M,NA,7,A,3,NA,NA,NA
7/23/21,CML,OBY,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBBR,Removed,M,NA,NA,A,3,NA,NA,end
6/14/21,WL,OBW,Dead,M,NA,7,A,3,NA,NA,NA
6/18/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,OBW,Dead,M,NA,7,A,3,NA,NA,NA
6/24/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,OBW,Dead,M,NA,7,A,3,NA,NA,NA
7/1/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,WL,OBW,Dead,M,NA,6,A,3,NA,NA,NA
7/8/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,NA
7/12/21,WL,OBW,Dead,M,NA,6,A,3,NA,NA,NA
7/15/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,NA
7/19/21,WL,OBW,Dead,M,NA,4,A,3,NA,NA,NA
7/23/21,CML,PBGK,Removed,M,NA,NA,A,3,NA,NA,end
7/23/21,CML,PBK,Removed,M,NA,NA,A,3,NA,NA,end
6/7/21,WL,OBWB,Removed,M,NA,5,A,3,NA,NA,NA
6/10/21,WL,OBWB,Removed,M,NA,NA,A,3,NA,NA,NA
7/23/21,CML,PBRR,Removed,M,NA,NA,A,3,NA,NA,end
7/26/21,WL,PBYR,Missing,F,NA,NA,M/MIA,NA,NA,NA,end
6/29/21,CML,OBWG,Removed,M,NA,9,A,3,NA,NA,NA
7/1/21,CML,OBWG,Removed,M,NA,8,A,3,NA,NA,NA
7/5/21,CML,OBWG,Removed,M,NA,9,A,3,NA,NA,NA
7/9/21,CML,OBWG,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBWG,Removed,M,NA,7,A,3,NA,NA,NA
7/15/21,CML,OBWG,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBWG,Removed,M,NA,6.5,A,3,NA,NA,NA
7/26/21,WL,YBRY,Dead,F,NA,NA,D,NA,NA,NA,end
7/26/21,WL,YYG,Molted,F,NA,6,M,2,NA,NA,end
6/7/21,WL,OBWK,Removed,M,NA,5,A,3,NA,NA,NA
6/10/21,WL,OBWK,Removed,M,NA,NA,A,3,NA,NA,NA
7/29/21,WL,YBBR,NA,F,NA,5.5,A,3,NA,NA,end
7/29/21,WL,YBK,Dead,F,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBWR,Dead,M,NA,9,A,3,NA,NA,NA
7/1/21,CML,OBWR,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBWR,Dead,M,NA,6,A,3,NA,NA,NA
7/9/21,CML,OBWR,Dead,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBWR,Dead,M,NA,5,A,3,NA,NA,NA
7/15/21,CML,OBWR,Dead,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBWR,Dead,M,NA,4,A,3,NA,NA,NA
8/2/21,WL,PBY,Dead,F,NA,NA,D,NA,NA,NA,end
8/2/21,WL,PBYW,Molted,F,NA,5,M,1,NA,NA,end
8/6/21,CML,YB,Removed,F,NA,10,A,3,NA,NA,start
8/6/21,CML,YBBY,Removed,F,NA,8,A,3,NA,NA,start
6/29/21,CML,OBY,Removed,M,NA,9.5,A,3,NA,NA,NA
7/1/21,CML,OBY,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBY,Removed,M,NA,8,A,3,NA,NA,NA
7/9/21,CML,OBY,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBY,Removed,M,NA,7,A,3,NA,NA,NA
7/15/21,CML,OBY,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBY,Removed,M,NA,6.5,A,3,NA,NA,NA
8/6/21,CML,YBGR,Molted,F,NA,8,A,3,NA,NA,start
